PASSENGERS_RAW,PASSENGER_MILES,ORIGIN_CITY_NAME - DEST_CITY_NAME,PASSENGERS,ROUTE,ORIGIN_CITY,DEST_CITY,DEST_STATE
" 901,242,930 "," 1,301,209,121,647 ",Grand Total,901242930,,,,
" 2,087,353 "," 1,529,761,202 ","New York, NY - Chicago, IL Total",2087353,"New York, NY - Chicago, IL","New York, NY","Chicago, IL",IL
" 2,076,870 "," 1,522,172,342 ","Chicago, IL - New York, NY Total",2076870,"Chicago, IL - New York, NY","Chicago, IL","New York, NY",NY
" 1,863,155 "," 627,883,235 ","Los Angeles, CA - San Francisco, CA Total",1863155,"Los Angeles, CA - San Francisco, CA","Los Angeles, CA","San Francisco, CA",CA
" 1,845,634 "," 621,978,658 ","San Francisco, CA - Los Angeles, CA Total",1845634,"San Francisco, CA - Los Angeles, CA","San Francisco, CA","Los Angeles, CA",CA
" 1,698,805 "," 4,204,515,375 ","Los Angeles, CA - New York, NY Total",1698805,"Los Angeles, CA - New York, NY","Los Angeles, CA","New York, NY",NY
" 1,678,680 "," 4,154,701,728 ","New York, NY - Los Angeles, CA Total",1678680,"New York, NY - Los Angeles, CA","New York, NY","Los Angeles, CA",CA
" 1,600,612 "," 2,793,176,782 ","Los Angeles, CA - Chicago, IL Total",1600612,"Los Angeles, CA - Chicago, IL","Los Angeles, CA","Chicago, IL",IL
" 1,573,814 "," 5,432,802,126 ","London, United Kingdom - New York, NY Total",1573814,"London, United Kingdom - New York, NY","London, United Kingdom","New York, NY",NY
" 1,562,727 "," 5,394,605,727 ","New York, NY - London, United Kingdom Total",1562727,"New York, NY - London, United Kingdom","New York, NY","London, United Kingdom",United Kingdom
" 1,558,362 "," 2,719,518,378 ","Chicago, IL - Los Angeles, CA Total",1558362,"Chicago, IL - Los Angeles, CA","Chicago, IL","Los Angeles, CA",CA
" 1,458,130 "," 875,976,075 ","Atlanta, GA - Chicago, IL Total",1458130,"Atlanta, GA - Chicago, IL","Atlanta, GA","Chicago, IL",IL
" 1,444,945 "," 1,579,881,673 ","Miami, FL - New York, NY Total",1444945,"Miami, FL - New York, NY","Miami, FL","New York, NY",NY
" 1,438,421 "," 1,572,730,445 ","New York, NY - Miami, FL Total",1438421,"New York, NY - Miami, FL","New York, NY","Miami, FL",FL
" 1,429,589 "," 858,928,374 ","Chicago, IL - Atlanta, GA Total",1429589,"Chicago, IL - Atlanta, GA","Chicago, IL","Atlanta, GA",GA
" 1,401,183 "," 474,746,187 ","Chicago, IL - Minneapolis, MN Total",1401183,"Chicago, IL - Minneapolis, MN","Chicago, IL","Minneapolis, MN",MN
" 1,383,191 "," 468,543,554 ","Minneapolis, MN - Chicago, IL Total",1383191,"Minneapolis, MN - Chicago, IL","Minneapolis, MN","Chicago, IL",IL
" 1,382,623 "," 1,052,976,898 ","New York, NY - Atlanta, GA Total",1382623,"New York, NY - Atlanta, GA","New York, NY","Atlanta, GA",GA
