 PASSENGERS_RAW , Passenger Miles ,ORIGIN_CITY_NAME-DEST_CITY_NAME,ROUTE,ORIGIN_CITY,DEST_CITY,PASSENGERS,DEST_STATE
" 296,764 "," 1,924,514,540 ","Shanghai, China-Los Angeles, CA Total","Shanghai, China-Los Angeles, CA","Shanghai, China","Los Angeles, CA",296764,CA
" 220,791 "," 1,380,164,541 ","Beijing, China-Los Angeles, CA Total","Beijing, China-Los Angeles, CA","Beijing, China","Los Angeles, CA",220791,CA
" 214,602 "," 1,268,941,626 ","Beijing, China-San Francisco, CA Total","Beijing, China-San Francisco, CA","Beijing, China","San Francisco, CA",214602,CA
" 212,843 "," 1,400,294,097 ","Beijing, China-Chicago, IL Total","Beijing, China-Chicago, IL","Beijing, China","Chicago, IL",212843,IL
" 190,037 "," 1,168,917,587 ","Shanghai, China-San Francisco, CA Total","Shanghai, China-San Francisco, CA","Shanghai, China","San Francisco, CA",190037,CA
" 184,868 "," 1,264,123,784 ","Beijing, China-New York, NY Total","Beijing, China-New York, NY","Beijing, China","New York, NY",184868,NY
" 159,906 "," 1,128,456,642 ","Shanghai, China-Chicago, IL Total","Shanghai, China-Chicago, IL","Shanghai, China","Chicago, IL",159906,IL
" 119,243 "," 644,746,901 ","Beijing, China-Seattle, WA Total","Beijing, China-Seattle, WA","Beijing, China","Seattle, WA",119243,WA
" 118,398 "," 819,432,558 ","Beijing, China-Washington, DC Total","Beijing, China-Washington, DC","Beijing, China","Washington, DC",118398,DC
" 105,171 "," 777,395,822 ","Shanghai, China-New York, NY Total","Shanghai, China-New York, NY","Shanghai, China","New York, NY",105171,NY
" 103,570 "," 748,914,670 ","Guangzhou, China-Los Angeles, CA Total","Guangzhou, China-Los Angeles, CA","Guangzhou, China","Los Angeles, CA",103570,CA
" 100,235 "," 715,377,195 ","Shanghai, China-Detroit, MI Total","Shanghai, China-Detroit, MI","Shanghai, China","Detroit, MI",100235,MI
" 87,019 "," 594,426,789 ","Beijing, China-Newark, NJ Total","Beijing, China-Newark, NJ","Beijing, China","Newark, NJ",87019,NJ
" 82,120 "," 469,890,640 ","Shanghai, China-Seattle, WA Total","Shanghai, China-Seattle, WA","Shanghai, China","Seattle, WA",82120,WA
" 81,955 "," 605,155,720 ","Shanghai, China-Newark, NJ Total","Shanghai, China-Newark, NJ","Shanghai, China","Newark, NJ",81955,NJ
" 72,606 "," 522,400,170 ","Beijing, China-Houston, TX Total","Beijing, China-Houston, TX","Beijing, China","Houston, TX",72606,TX
" 68,907 "," 506,535,357 ","Shanghai, China-Dallas/Fort Worth, TX Total","Shanghai, China-Dallas/Fort Worth, TX","Shanghai, China","Dallas/Fort Worth, TX",68907,TX
" 62,307 "," 413,220,024 ","Beijing, China-Detroit, MI Total","Beijing, China-Detroit, MI","Beijing, China","Detroit, MI",62307,MI
" 58,673 "," 469,384,000 ","Guangzhou, China-New York, NY Total","Guangzhou, China-New York, NY","Guangzhou, China","New York, NY",58673,NY
" 57,150 "," 385,019,550 ","Beijing, China-Boston, MA Total","Beijing, China-Boston, MA","Beijing, China","Boston, MA",57150,MA
" 53,544 "," 270,986,184 ","Beijing, China-Honolulu, HI Total","Beijing, China-Honolulu, HI","Beijing, China","Honolulu, HI",53544,HI
" 44,753 "," 220,498,031 ","Shanghai, China-Honolulu, HI Total","Shanghai, China-Honolulu, HI","Shanghai, China","Honolulu, HI",44753,HI
" 40,915 "," 285,218,465 ","Beijing, China-Dallas/Fort Worth, TX Total","Beijing, China-Dallas/Fort Worth, TX","Beijing, China","Dallas/Fort Worth, TX",40915,TX
" 35,035 "," 240,725,485 ","Chengdu, China-San Francisco, CA Total","Chengdu, China-San Francisco, CA","Chengdu, China","San Francisco, CA",35035,CA
" 21,772 "," 150,161,484 ","Guangzhou, China-San Francisco, CA Total","Guangzhou, China-San Francisco, CA","Guangzhou, China","San Francisco, CA",21772,CA
" 19,968 "," 129,372,672 ","Wuhan, China-San Francisco, CA Total","Wuhan, China-San Francisco, CA","Wuhan, China","San Francisco, CA",19968,CA
" 19,875 "," 118,117,125 ","Beijing, China-San Jose, CA Total","Beijing, China-San Jose, CA","Beijing, China","San Jose, CA",19875,CA
" 19,085 "," 139,473,180 ","Shanghai, China-Boston, MA Total","Shanghai, China-Boston, MA","Shanghai, China","Boston, MA",19085,MA
" 10,119 "," 66,583,020 ","Nanjing, China-Los Angeles, CA Total","Nanjing, China-Los Angeles, CA","Nanjing, China","Los Angeles, CA",10119,CA
" 4,427 "," 29,908,812 ","Shanghai, China-Minneapolis, MN Total","Shanghai, China-Minneapolis, MN","Shanghai, China","Minneapolis, MN",4427,MN
" 3,045 "," 19,853,400 ","Shanghai, China-Las Vegas, NV Total","Shanghai, China-Las Vegas, NV","Shanghai, China","Las Vegas, NV",3045,NV
" 1,448 "," 11,090,232 ","Shanghai, China-Atlanta, GA Total","Shanghai, China-Atlanta, GA","Shanghai, China","Atlanta, GA",1448,GA
" 1,372 "," 10,226,978 ","Shanghai, China-Washington, DC Total","Shanghai, China-Washington, DC","Shanghai, China","Washington, DC",1372,DC
" 1,188 "," 7,230,168 ","Beijing, China-Salt Lake City, UT Total","Beijing, China-Salt Lake City, UT","Beijing, China","Salt Lake City, UT",1188,UT
" 1,141 "," 9,196,460 ","Shanghai, China-Orlando, FL Total","Shanghai, China-Orlando, FL","Shanghai, China","Orlando, FL",1141,FL
" 1,007 "," 6,291,736 ","Beijing, China-Las Vegas, NV Total","Beijing, China-Las Vegas, NV","Beijing, China","Las Vegas, NV",1007,NV
 793 ," 3,769,922 ","Changsha, China-Anchorage, AK Total","Changsha, China-Anchorage, AK","Changsha, China","Anchorage, AK",793,AK
 319 ," 1,374,252 ","Shanghai, China-Anchorage, AK Total","Shanghai, China-Anchorage, AK","Shanghai, China","Anchorage, AK",319,AK
 283 ," 2,033,355 ","Beijing, China-Atlanta, GA Total","Beijing, China-Atlanta, GA","Beijing, China","Atlanta, GA",283,GA
 123 ," 938,859 ","Shanghai, China-Charlotte, NC Total","Shanghai, China-Charlotte, NC","Shanghai, China","Charlotte, NC",123,NC
 9 ," 35,649 ","Beijing, China-Anchorage, AK Total","Beijing, China-Anchorage, AK","Beijing, China","Anchorage, AK",9,AK
 4 ," 27,288 ","Beijing, China-Teterboro, NJ Total","Beijing, China-Teterboro, NJ","Beijing, China","Teterboro, NJ",4,NJ
