AIRPORT,INTERNATIONAL RANK,DIVISOR,BETA,BETA_IDENTICAL,,,,,
"New York, NY",100,100,1,1,,,,,
"Chicago, IL",70,100,0.7,1,,,,,
"Los Angeles, CA",65,100,0.65,1,,,,,
"San Francisco, CA",50,100,0.5,1,,,,,
"Atlanta, GA",1,100,0.01,1,,,,,
"Miami, FL",1,100,0.01,1,,,,,
"Minneapolis, MN",1,100,0.01,1,,,,,
"Orlando, FL",1,100,0.01,1,,,,,
"Washington, DC",1,100,0.01,1,,,,,
"Las Vegas, NV",1,100,0.01,1,,,,,
"Fort Lauderdale, FL",1,100,0.01,1,,,,,
"Denver, CO",1,100,0.01,1,,,,,
"Dallas/Fort Worth, TX",1,100,0.01,1,,,,,
"Honolulu, HI",1,100,0.01,1,,,,,
"Boston, MA",1,100,0.01,1,,,,,
"Seattle, WA",1,100,0.01,1,,,,,
"Phoenix, AZ",1,100,0.01,1,,,,,
"Tampa, FL",1,100,0.01,1,,,,,
"Houston, TX",1,100,0.01,1,,,,,
"Charlotte, NC",1,100,0.01,1,,,,,
"Kahului, HI",1,100,0.01,1,,,,,
"Philadelphia, PA",1,100,0.01,1,,,,,
"Anchorage, AK",1,100,0.01,1,,,,,
"Newark, NJ",1,100,0.01,1,,,,,
"San Diego, CA",1,100,0.01,1,,,,,
"Detroit, MI",1,100,0.01,1,,,,,
"Jacksonville, FL",1,100,0.01,1,,,,,
"Baltimore, MD",1,100,0.01,1,,,,,
"New Orleans, LA",1,100,0.01,1,,,,,
"Salt Lake City, UT",1,100,0.01,1,,,,,
"Raleigh/Durham, NC",1,100,0.01,1,,,,,
"Kona, HI",1,100,0.01,1,,,,,
"Lihue, HI",1,100,0.01,1,,,,,
"Portland, OR",1,100,0.01,1,,,,,
"West Palm Beach/Palm Beach, FL",1,100,0.01,1,,,,,
"Dallas, TX",1,100,0.01,1,,,,,
"Cleveland, OH",1,100,0.01,1,,,,,
"St. Louis, MO",1,100,0.01,1,,,,,
"Kansas City, MO",1,100,0.01,1,,,,,
"Austin, TX",1,100,0.01,1,,,,,
"Fort Myers, FL",1,100,0.01,1,,,,,
"San Jose, CA",1,100,0.01,1,,,,,
"San Antonio, TX",1,100,0.01,1,,,,,
"Indianapolis, IN",1,100,0.01,1,,,,,
"Spokane, WA",1,100,0.01,1,,,,,
"Oakland, CA",1,100,0.01,1,,,,,
"Sacramento, CA",1,100,0.01,1,,,,,
"Hilo, HI",1,100,0.01,1,,,,,
"Santa Ana, CA",1,100,0.01,1,,,,,
"Richmond, VA",1,100,0.01,1,,,,,
"Nashville, TN",1,100,0.01,1,,,,,
"Columbus, OH",1,100,0.01,1,,,,,
"Pittsburgh, PA",1,100,0.01,1,,,,,
"Omaha, NE",1,100,0.01,1,,,,,
"Milwaukee, WI",1,100,0.01,1,,,,,
"Memphis, TN",1,100,0.01,1,,,,,
"Charleston, SC",1,100,0.01,1,,,,,
"Ontario, CA",1,100,0.01,1,,,,,
"Burbank, CA",1,100,0.01,1,,,,,
"Birmingham, AL",1,100,0.01,1,,,,,
"Reno, NV",1,100,0.01,1,,,,,
"Buffalo, NY",1,100,0.01,1,,,,,
"Savannah, GA",1,100,0.01,1,,,,,
"Norfolk, VA",1,100,0.01,1,,,,,
"Pensacola, FL",1,100,0.01,1,,,,,
"Albuquerque, NM",1,100,0.01,1,,,,,
"Hartford, CT",1,100,0.01,1,,,,,
"Louisville, KY",1,100,0.01,1,,,,,
"Cincinnati, OH",1,100,0.01,1,,,,,
"Providence, RI",1,100,0.01,1,,,,,
"Tulsa, OK",1,100,0.01,1,,,,,
"Sarasota/Bradenton, FL",1,100,0.01,1,,,,,
"Oklahoma City, OK",1,100,0.01,1,,,,,
"Des Moines, IA",1,100,0.01,1,,,,,
"Tucson, AZ",1,100,0.01,1,,,,,
"Manchester, NH",1,100,0.01,1,,,,,
"Greer, SC",1,100,0.01,1,,,,,
"El Paso, TX",1,100,0.01,1,,,,,
"Greensboro/High Point, NC",1,100,0.01,1,,,,,
"Little Rock, AR",1,100,0.01,1,,,,,
"Boise, ID",1,100,0.01,1,,,,,
,,,,,,,,,
