STATE,STATE_ABBREVIATION,CASES_MAR_17,CASES_MAR_31
Alabama,AL,39,999
Alaska,AK,6,133
Arizona,AZ,20,1298
Arkansas,AR,22,564
California,CA,732,8583
Colorado,CO,183,2990
Connecticut,CT,68,3128
Delaware,DE,16,319
Florida,FL,210,6742
Georgia,GA,142,4116
Hawaii,HI,14,224
Idaho,ID,9,526
Illinois,IL,159,5992
Indiana,IN,30,2177
Iowa,IA,29,498
Kansas,KS,17,435
Kentucky,KY,26,590
Louisiana,LA,196,5237
Maine,ME,32,303
Maryland,MD,57,1662
Massachusetts,MA,218,6620
Michigan,MI,65,7629
Minnesota,MN,60,629
Mississippi,MS,21,937
Missouri,MO,16,1350
Montana,MT,8,198
Nebraska,NE,36,199
Nevada,NV,55,1113
New Hampshire,NH,26,367
New Jersey,NJ,268,18696
New Mexico,NM,23,315
New York,NY,1375,76211
North Carolina,NC,42,1527
North Dakota,ND,5,126
Ohio,OH,67,2199
Oklahoma,OK,18,566
Oregon,OR,66,690
Pennsylvania,PA,101,4997
Rhode Island,RI,23,488
South Carolina,SC,47,1083
South Dakota,SD,11,107
Tennessee,TN,73,2049
Texas,TX,106,3588
Utah,UT,51,887
Vermont,VT,14,293
Virginia,VA,67,1249
Washington,WA,908,5293
West Virginia,WV,1,162
Wisconsin,WI,72,1351
Wyoming,WY,15,121
