STATE,STATE_ABBREVIATION,PASSENGERS_FROM_ITALY_SCALED,PASSENGERS_FROM_ITALY_NEIGHBORS_SCALED,NEIGHBORS_HUBS_ITALY,RANK_NORMALIZED,RANK_ITALY,CASES_MAR_17,CASES_MAR_31,TESTS_MAR_17_SCALED,TESTS_MAR_31_SCALED
Alabama,AL,0.0,0.0,0.007932240074632875,0.012539990752078855,0.006779705791675729,39,999,0.002142618011382658,0.03546700579341529
Alaska,AK,0.0,1.7375002063281495e-06,5.622829147392718e-05,0.02070564120147716,0.013255942172135772,6,133,0.011282222966186809,0.018091632437278606
Arizona,AZ,1.4023416300538639e-05,0.0005499188153028593,0.09976841954481429,0.27294650316488206,0.2579350763014878,20,1298,0.09702042182792099,0.13642542865913376
Arkansas,AR,0.0,0.0,0.004996986107621712,0.010107371885094783,0.00427093675128511,22,564,0.007331771007700033,0.031583614720829496
California,CA,0.07071868606198631,0.5752837120649408,0.573605999670647,1.0,1.0,732,8583,0.28336123200535657,0.14254042965799846
Colorado,CO,0.0,0.0,0.1391247049801871,0.2887175641707853,0.2967669036434873,183,2990,0.04914630063608972,0.09020966413783359
Connecticut,CT,0.0,0.0,0.015134645090708585,0.03211126094180977,0.02869444478106539,68,3128,0.04435888851690659,0.11264270365876833
Delaware,DE,0.0,0.0,0.0,0.0,0.0,16,319,0.011750920656176765,0.026642888814177056
Florida,FL,0.18499270081181557,0.313565793485938,1.0,0.5848830011762659,0.70961207313812,210,6742,0.06401071309005692,0.2682122270784913
Georgia,GA,0.18092450774302932,0.3322378394532434,0.27138826997174437,0.630137401373521,0.6437102518058252,142,4116,0.05021760964178105,0.09701168915330381
Hawaii,HI,0.0,0.0,0.012323651458049506,0.17722013668044623,0.0981344604907502,14,224,0.010244392366923335,0.043024269976075974
Idaho,ID,0.0,0.0,1.5095141181616362e-05,0.009923082457496533,0.003558712408619378,9,526,0.011817877469032474,0.027831781438657527
Illinois,IL,0.12694136669410583,0.26988069454833247,0.36487946494866863,0.5301298710300627,0.5944988055673788,159,5992,0.05021760964178105,0.17163419138247749
Indiana,IN,0.0,7.818750928476673e-06,0.01563052010706003,0.024226815728744012,0.019246736087195054,30,2177,0.06049548041513224,0.11859691180268281
Iowa,IA,0.0,0.0,0.004344336672727705,0.010488634493895465,0.005071695239866508,29,498,0.0035487110813525275,0.035983491933558445
Kansas,KS,0.0,0.0,0.0,0.0,0.0,17,435,0.013290927351858052,0.026428498340910087
Kentucky,KY,0.0,0.0,0.01093516843069818,0.015913918318664632,0.01065048959139307,26,590,0.010612654837629729,0.03318179824881964
Louisiana,LA,0.0,8.687501031640747e-06,0.050542530204188994,0.04687276337183019,0.0450587099377442,196,5237,0.014161365918982257,0.18986712663168204
Maine,ME,0.0002412027603692646,0.00017288127052965087,0.0,0.0,0.0,32,303,0.03900234348844995,0.04211311046469135
Maryland,MD,9.816391410377048e-06,0.00024151252867961277,0.034132342033758964,0.11360442377394882,0.10711795307720248,57,1662,0.0,0.07434476911607782
Massachusetts,MA,0.08399184959044613,0.21665411322767594,0.20633483708497408,0.1604012417995769,0.21195475217790546,218,6620,0.30616002678272514,0.31181145332378324
Michigan,MI,0.05550608405916199,0.15067601789277713,0.11446002388222082,0.14637986916254336,0.1755315845285716,65,7629,0.03682624707063944,0.180550886066081
Minnesota,MN,0.0,0.09887418674130967,0.11480172448025887,0.15993681801752724,0.16732325106548604,60,629,0.08443254101104787,0.1064692325308308
Mississippi,MS,0.0,0.0,0.0,0.0,0.0,21,937,0.013023100100435218,0.02179961312264597
Missouri,MO,0.0,8.687501031640747e-07,0.06696620316333383,0.0971356539095365,0.09068636798522921,16,1350,0.013558754603280885,0.09349860889817914
Montana,MT,0.0,6.950000825312598e-06,0.0,0.0,0.0,8,198,0.010411784399062604,0.018929704287322213
Nebraska,NE,0.0,0.0,0.0064886948412435485,0.017318570954200075,0.01230086311653665,36,199,0.012587880816873117,0.014627277289714618
Nevada,NV,0.00010798030551414753,0.019093389767340034,0.1241565274262661,0.24320564481137744,0.23355475076147678,55,1113,0.10010043521928357,0.07223984446945667
New Hampshire,NH,0.0,1.7375002063281495e-06,3.062373429528421e-07,0.010870685843839807,0.004624573794412714,26,367,0.02788751255440241,0.030404467117861163
New Jersey,NJ,0.1986879691709216,0.36683494356164953,0.04920221762885306,0.13342538167609472,0.20037199755605753,268,18696,0.014395714763977234,0.2230294348374774
New Mexico,NM,0.0,0.0,6.464082068970476e-05,0.0159606537995132,0.009842090134618207,23,315,0.04251757616337462,0.0610379422412575
